	SMILES	Number	Lattice
37	O=Cc1cc2c(s1)-c1sc(C=O)cc1C2=O	70	('25.47928656', '0.0', '0.0', '0.0', '25.47928656', '0.0', '0.0', '0.0', '25.47928656')
38	CCOc1c(NCCCN(C)C)c(=O)c1=O	72	('25.59941496', '0.0', '0.0', '0.0', '25.59941496', '0.0', '0.0', '0.0', '25.59941496')
39	CN(Cn1nnnc1N)[N+](=O)[O-]	73	('37.97687376', '0.0', '0.0', '0.0', '37.97687376', '0.0', '0.0', '0.0', '37.97687376')
40	CN(C)/C=N/c1nn(C)c(/N=C/N(C)C)c1[N+](=O)[O-]	80	('22.225764960000003', '0.0', '0.0', '0.0', '22.225764960000003', '0.0', '0.0', '0.0', '22.225764960000003')
41	C1=C[C@H]2O[C@@H]1c1cc3c(cc12)[C@@H]1CC[C@H]3C1	82	('21.71482236', '0.0', '0.0', '0.0', '21.71482236', '0.0', '0.0', '0.0', '21.71482236')
42	c1ccc2snnc2c1	85	('29.58317964', '0.0', '0.0', '0.0', '29.58317964', '0.0', '0.0', '0.0', '29.58317964')
43	O=C(O)CSCc1ccccc1	87	('45.73140012', '0.0', '0.0', '0.0', '45.73140012', '0.0', '0.0', '0.0', '45.73140012')
44	O=C(O)CSCc1ccccc1	88	('28.82091996', '0.0', '0.0', '0.0', '28.82091996', '0.0', '0.0', '0.0', '28.82091996')
45	CSc1c2ccc(c1CN(C)C)CCc1ccc(cc1)CC2	92	('22.59281808', '0.0', '0.0', '0.0', '22.59281808', '0.0', '0.0', '0.0', '22.59281808')
46	CN1c2c(ncn2C)[C](N)[N]S1(=O)=O	93	('31.488352560000003', '0.0', '0.0', '0.0', '31.488352560000003', '0.0', '0.0', '0.0', '31.488352560000003')
47	CN1c2c(ncn2C)[C](N)[N]S1(=O)=O	94	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
48	O=c1[nH]c(=O)n(O)c2nc[nH]c12	98	('24.83868996', '0.0', '0.0', '0.0', '24.83868996', '0.0', '0.0', '0.0', '24.83868996')
49	O=c1sc2c3cccc4c(=O)sc(c5cccc1c52)c43	101	('31.064040000000002', '0.0', '0.0', '0.0', '31.064040000000002', '0.0', '0.0', '0.0', '31.064040000000002')
50	Cc1ncc[nH]1	103	('27.430129439999998', '0.0', '0.0', '0.0', '27.430129439999998', '0.0', '0.0', '0.0', '27.430129439999998')
51	N[C]1N=C(NC(=O)c2ccccn2)[N]N1	105	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
52	O=S1(=O)[N]c2c(c3ccccc3c3ccccc23)[N]1	107	('33.96384432', '0.0', '0.0', '0.0', '33.96384432', '0.0', '0.0', '0.0', '33.96384432')
53	c1ccc(OC2(Oc3ccccc3)Oc3ccccc3O2)cc1	108	('17.43571116', '0.0', '0.0', '0.0', '17.43571116', '0.0', '0.0', '0.0', '17.43571116')
54	CCc1nc(Cc2[nH]c(CC)nc2C)c(C)[nH]1	109	('36.5772456', '0.0', '0.0', '0.0', '36.5772456', '0.0', '0.0', '0.0', '36.5772456')
55	O[N][C]([C]([N][N][CH]N1CCCC1)c1ccccc1)N1CCCC1	111	('20.15553456', '0.0', '0.0', '0.0', '20.15553456', '0.0', '0.0', '0.0', '20.15553456')
56	Nn1cn[nH]c1=O	114	('23.61994236', '0.0', '0.0', '0.0', '23.61994236', '0.0', '0.0', '0.0', '23.61994236')
57	O=C1c2cccc(n2)C(=O)c2cccc(n2)C(=O)c2cccc1n2	115	('24.221272319999997', '0.0', '0.0', '0.0', '24.221272319999997', '0.0', '0.0', '0.0', '24.221272319999997')
58	O=C1c2ccccc2C(=O)N1O	117	('35.867429640000005', '0.0', '0.0', '0.0', '35.867429640000005', '0.0', '0.0', '0.0', '35.867429640000005')
59	CSc1ssc(=S)c1SC	118	('45.65366064', '0.0', '0.0', '0.0', '45.65366064', '0.0', '0.0', '0.0', '45.65366064')
60	[O]N([N]Nc1ccc([N+](=O)[O-])cc1)c1ccccc1	119	('43.15541328', '0.0', '0.0', '0.0', '43.15541328', '0.0', '0.0', '0.0', '43.15541328')
61	O=c1cccc[nH]1	123	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
62	C1=C\[C@@]23O[C@@H]2[C@@H]2O[C@]2(/C=C\c2ccc/1cc2)[C@@H]1O[C@@H]13	124	('19.78742304', '0.0', '0.0', '0.0', '19.78742304', '0.0', '0.0', '0.0', '19.78742304')
