	SMILES	Number	Lattice
362	c1cc2c3c(c1CCc1ccc(c4c1CSC4)CC2)CSC3	771	('22.5883728', '0.0', '0.0', '0.0', '22.5883728', '0.0', '0.0', '0.0', '22.5883728')
363	NC1=NC(=O)c2ccccc21	775	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
364	S=C1[N]C(c2ccccc2)=N[C]2SC=CN21	778	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
365	c1ccc(C2SCCSCCS2)cc1	779	('28.0722078', '0.0', '0.0', '0.0', '28.0722078', '0.0', '0.0', '0.0', '28.0722078')
366	O=C1c2nsnc2C(=C2SC=CS2)c2nsnc21	780	('33.392678759999995', '0.0', '0.0', '0.0', '33.392678759999995', '0.0', '0.0', '0.0', '33.392678759999995')
367	CN(c1cccc(S(C)(=O)=O)c1)[N+](=O)[O-]	781	('29.65885524', '0.0', '0.0', '0.0', '29.65885524', '0.0', '0.0', '0.0', '29.65885524')
368	NC(=O)c1cccc[n+]1[O-]	788	('25.36884252', '0.0', '0.0', '0.0', '25.36884252', '0.0', '0.0', '0.0', '25.36884252')
369	O=[N+]([O-])Nc1nonc1N[N+](=O)[O-]	789	('24.293613960000002', '0.0', '0.0', '0.0', '24.293613960000002', '0.0', '0.0', '0.0', '24.293613960000002')
370	c1cc2c3c(ccc4c3c1CC4)SS2	790	('54.23855472', '0.0', '0.0', '0.0', '54.23855472', '0.0', '0.0', '0.0', '54.23855472')
371	COc1cc([N+](=O)[O-])cc(OC)c1OC	792	('24.730786079999998', '0.0', '0.0', '0.0', '24.730786079999998', '0.0', '0.0', '0.0', '24.730786079999998')
372	O=C(O)[C@]12c3ccccc3[C@H](c3ccccc31)[C@@]1(C(=O)O)c3ccccc3[C@@H]2c2ccccc21	793	('32.2896672', '0.0', '0.0', '0.0', '32.2896672', '0.0', '0.0', '0.0', '32.2896672')
373	[O]N1[N]Nc2ccccc21	796	('22.29842412', '0.0', '0.0', '0.0', '22.29842412', '0.0', '0.0', '0.0', '22.29842412')
374	c1cncc(-c2nnc(-c3cccnc3)o2)c1	800	('20.4107148', '0.0', '0.0', '0.0', '20.4107148', '0.0', '0.0', '0.0', '20.4107148')
375	COC(=O)[C]1C(c2ccccc2)=NN2C(C(=O)OC)=C(c3ccccc3)[N]N12	802	('24.15041244', '0.0', '0.0', '0.0', '24.15041244', '0.0', '0.0', '0.0', '24.15041244')
376	O=C1c2ccccc2C(=O)c2c1ccc1nsnc21	805	('23.5761246', '0.0', '0.0', '0.0', '23.5761246', '0.0', '0.0', '0.0', '23.5761246')
377	O=C(NO)c1cccc(C(=O)NO)n1	808	('30.88776348', '0.0', '0.0', '0.0', '30.88776348', '0.0', '0.0', '0.0', '30.88776348')
378	O=C(O[C@H]1C(=O)OC(=O)[C@@H]1O)c1ccccc1	809	('26.313834959999998', '0.0', '0.0', '0.0', '26.313834959999998', '0.0', '0.0', '0.0', '26.313834959999998')
379	c1ccc2c(c1)C2	811	('33.25577472', '0.0', '0.0', '0.0', '33.25577472', '0.0', '0.0', '0.0', '33.25577472')
380	c1coc(-c2nn3c(-c4ccco4)nnc3s2)c1	812	('25.631378639999998', '0.0', '0.0', '0.0', '25.631378639999998', '0.0', '0.0', '0.0', '25.631378639999998')
381	c1cnn(C(n2cccn2)n2cccn2)c1	813	('43.108526160000004', '0.0', '0.0', '0.0', '43.108526160000004', '0.0', '0.0', '0.0', '43.108526160000004')
382	CN(C)CCNc1cc(NCCN(C)C)c([N+](=O)[O-])cc1[N+](=O)[O-]	814	('24.55477416', '0.0', '0.0', '0.0', '24.55477416', '0.0', '0.0', '0.0', '24.55477416')
383	c1csc(-c2cncs2)n1	815	('28.8514548', '0.0', '0.0', '0.0', '28.8514548', '0.0', '0.0', '0.0', '28.8514548')
384	CC(C)(O)C(C)(C)n1cc2c(=O)[nH]cnc2n1	816	('46.500168959999996', '0.0', '0.0', '0.0', '46.500168959999996', '0.0', '0.0', '0.0', '46.500168959999996')
385	CC(C)(O)C(C)(C)n1cc2c(=O)[nH]cnc2n1	818	('10.00087452', '0.0', '0.0', '0.0', '10.00087452', '0.0', '0.0', '0.0', '10.00087452')
386	Cc1cc(=O)[nH]c(=S)[nH]1	823	('16.39286964', '0.0', '0.0', '0.0', '16.39286964', '0.0', '0.0', '0.0', '16.39286964')
387	O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-]	828	('36.458810639999996', '0.0', '0.0', '0.0', '36.458810639999996', '0.0', '0.0', '0.0', '36.458810639999996')
388	O=C(O)c1ccc[nH]1	829	('34.5662856', '0.0', '0.0', '0.0', '34.5662856', '0.0', '0.0', '0.0', '34.5662856')
389	O=c1[nH]ccc2nnnn12	830	('33.19983828', '0.0', '0.0', '0.0', '33.19983828', '0.0', '0.0', '0.0', '33.19983828')
390	ON=C1C[C@H](c2cccs2)N(O)[C@@H](c2cccs2)C1	831	('25.166846879999998', '0.0', '0.0', '0.0', '25.166846879999998', '0.0', '0.0', '0.0', '25.166846879999998')
391	Nn1c(Cc2ccsc2)n[nH]c1=S	833	('32.038297199999995', '0.0', '0.0', '0.0', '32.038297199999995', '0.0', '0.0', '0.0', '32.038297199999995')
392	Nn1c(Cc2ccsc2)n[nH]c1=S	834	('25.507545840000002', '0.0', '0.0', '0.0', '25.507545840000002', '0.0', '0.0', '0.0', '25.507545840000002')
393	Nc1cccc2c(O)n[nH]c(=O)c12	835	('35.902251', '0.0', '0.0', '0.0', '35.902251', '0.0', '0.0', '0.0', '35.902251')
394	c1ccc2c(c1)C[C@@H]1O[C@@H]1C2	837	('24.30922536', '0.0', '0.0', '0.0', '24.30922536', '0.0', '0.0', '0.0', '24.30922536')
395	N[C]1[N+]([O-])[N]C(c2nnn[nH]2)=N[N+]1[O-]	839	('31.697598239999998', '0.0', '0.0', '0.0', '31.697598239999998', '0.0', '0.0', '0.0', '31.697598239999998')
396	Cc1cccc2c1NC(=O)C2=O	841	('36.51458832', '0.0', '0.0', '0.0', '36.51458832', '0.0', '0.0', '0.0', '36.51458832')
397	CCSc1cc(SCC)c(SCC)cc1SCC	843	('30.196734120000002', '0.0', '0.0', '0.0', '30.196734120000002', '0.0', '0.0', '0.0', '30.196734120000002')
398	c1cn[nH]c1	845	('25.44520608', '0.0', '0.0', '0.0', '25.44520608', '0.0', '0.0', '0.0', '25.44520608')
399	Nc1cc[nH]c(=O)n1	846	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
400	NNC(=O)c1ccc(N)cc1	849	('38.50559748', '0.0', '0.0', '0.0', '38.50559748', '0.0', '0.0', '0.0', '38.50559748')
401	Nc1nccs1	851	('25.65090612', '0.0', '0.0', '0.0', '25.65090612', '0.0', '0.0', '0.0', '25.65090612')
402	Cc1cn2c(nc1=O)OCC2	853	('21.29929452', '0.0', '0.0', '0.0', '21.29929452', '0.0', '0.0', '0.0', '21.29929452')
403	Nc1nnnc2c1cnn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	854	('27.36853056', '0.0', '0.0', '0.0', '27.36853056', '0.0', '0.0', '0.0', '27.36853056')
404	O=c1[nH]c(=O)[nH]c(=O)[nH]1	855	('37.53028188', '0.0', '0.0', '0.0', '37.53028188', '0.0', '0.0', '0.0', '37.53028188')
405	O=C(Cc1ccc(O)cc1)NN1CSCSC1	857	('40.0456224', '0.0', '0.0', '0.0', '40.0456224', '0.0', '0.0', '0.0', '40.0456224')
406	O=c1c(O)c(O)c(=O)c1=O	862	('40.745754000000005', '0.0', '0.0', '0.0', '40.745754000000005', '0.0', '0.0', '0.0', '40.745754000000005')
407	O=CNn1cccn1	863	('35.57832768', '0.0', '0.0', '0.0', '35.57832768', '0.0', '0.0', '0.0', '35.57832768')
408	CCCCCCc1ccc(C)cc1	869	('46.16243352', '0.0', '0.0', '0.0', '46.16243352', '0.0', '0.0', '0.0', '46.16243352')
409	O=[N+]([O-])/C(=C/c1cccs1)CO	870	('26.40591576', '0.0', '0.0', '0.0', '26.40591576', '0.0', '0.0', '0.0', '26.40591576')
410	[O][N]N1CCn2nnnc21	871	('41.10275232', '0.0', '0.0', '0.0', '41.10275232', '0.0', '0.0', '0.0', '41.10275232')
411	c1ccncc1	876	('25.82633592', '0.0', '0.0', '0.0', '25.82633592', '0.0', '0.0', '0.0', '25.82633592')
412	Nc1nnc(-c2cccnc2N)o1	883	('21.97460664', '0.0', '0.0', '0.0', '21.97460664', '0.0', '0.0', '0.0', '21.97460664')
413	O=C1c2cccn2Cn2cccc21	887	('36.3102642', '0.0', '0.0', '0.0', '36.3102642', '0.0', '0.0', '0.0', '36.3102642')
414	O=[N+]([O-])c1ccc(N2O[C@@H]3C=C[C@H]2CC3)cc1	889	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
415	Nc1nonc1/C(=N\O)N1CCCCC1	890	('28.175295960000003', '0.0', '0.0', '0.0', '28.175295960000003', '0.0', '0.0', '0.0', '28.175295960000003')
416	Nc1n[nH]c(=O)s1	900	('31.768140600000002', '0.0', '0.0', '0.0', '31.768140600000002', '0.0', '0.0', '0.0', '31.768140600000002')
417	c1cc2sc(-c3cc4sccc4s3)cc2s1	904	('43.225743959999996', '0.0', '0.0', '0.0', '43.225743959999996', '0.0', '0.0', '0.0', '43.225743959999996')
418	c1ccc2c3c(oc2c1)SSSSc1oc2ccccc2c1-3	905	('26.08066944', '0.0', '0.0', '0.0', '26.08066944', '0.0', '0.0', '0.0', '26.08066944')
419	Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(=O)O)c1[N+](=O)[O-]	910	('16.49564028', '0.0', '0.0', '0.0', '16.49564028', '0.0', '0.0', '0.0', '16.49564028')
420	Cc1nnc(C)n1N	911	('29.38298328', '0.0', '0.0', '0.0', '29.38298328', '0.0', '0.0', '0.0', '29.38298328')
421	Nc1nnnn1CCO[N+](=O)[O-]	914	('20.5702686', '0.0', '0.0', '0.0', '20.5702686', '0.0', '0.0', '0.0', '20.5702686')
422	CC(=O)n1ccn(C(C)=O)c1=O	918	('27.557296200000003', '0.0', '0.0', '0.0', '27.557296200000003', '0.0', '0.0', '0.0', '27.557296200000003')
423	CSc1nc2[nH]nnc2c(=O)[nH]1	920	('18.477653040000003', '0.0', '0.0', '0.0', '18.477653040000003', '0.0', '0.0', '0.0', '18.477653040000003')
424	O=c1[nH][nH]c(=O)s1	925	('34.791671879999996', '0.0', '0.0', '0.0', '34.791671879999996', '0.0', '0.0', '0.0', '34.791671879999996')
425	O=C(O)Cn1cnnn1	927	('32.029353719999996', '0.0', '0.0', '0.0', '32.029353719999996', '0.0', '0.0', '0.0', '32.029353719999996')
426	Cc1cc(C(=O)O)on1	929	('19.407139920000002', '0.0', '0.0', '0.0', '19.407139920000002', '0.0', '0.0', '0.0', '19.407139920000002')
427	COc1cc(OC)c(CO)c(OC)c1	930	('18.564071400000003', '0.0', '0.0', '0.0', '18.564071400000003', '0.0', '0.0', '0.0', '18.564071400000003')
428	Oc1ccc2c(c1)OCCOCCOCCOCCO2	932	('25.48156212', '0.0', '0.0', '0.0', '25.48156212', '0.0', '0.0', '0.0', '25.48156212')
429	[O-][N+]1[N][N+]([O-])C2=NN(c3ccccc3)[N]C2=N1	933	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
430	O=C(O)/C=C\c1nc2ccccc2o1	934	('28.81991448', '0.0', '0.0', '0.0', '28.81991448', '0.0', '0.0', '0.0', '28.81991448')
431	O/N=C/c1ccncc1	936	('30.42545436', '0.0', '0.0', '0.0', '30.42545436', '0.0', '0.0', '0.0', '30.42545436')
432	Nc1nonc1-c1nonc1-c1nonc1N	941	('29.33720748', '0.0', '0.0', '0.0', '29.33720748', '0.0', '0.0', '0.0', '29.33720748')
433	CCCCc1ccc2c(c1)sc1cc3c(cc12)sc1cc(CCCC)ccc13	942	('36.81586188', '0.0', '0.0', '0.0', '36.81586188', '0.0', '0.0', '0.0', '36.81586188')
434	CC1(C)c2ccc(o2)C(C)(C)c2ccc(o2)C(C)(C)c2ccc(o2)C(C)(C)c2ccc1o2	943	('32.05777176', '0.0', '0.0', '0.0', '32.05777176', '0.0', '0.0', '0.0', '32.05777176')
435	Cc1ccc(C)c2c1ccc1ccc3ccccc3c12	944	('22.99548636', '0.0', '0.0', '0.0', '22.99548636', '0.0', '0.0', '0.0', '22.99548636')
436	[CH]1N=C[N]N1CN(CCN(CN1[CH]N=C[N]1)Cn1cncn1)Cn1cncn1	945	('28.31966172', '0.0', '0.0', '0.0', '28.31966172', '0.0', '0.0', '0.0', '28.31966172')
437	c1scc2c1c1cscc1c1cscc21	946	('45.70017732', '0.0', '0.0', '0.0', '45.70017732', '0.0', '0.0', '0.0', '45.70017732')
438	Cc1cc(C)c([CH][N][N][CH]c2[nH]c(C)cc2C)[nH]1	948	('33.8219658', '0.0', '0.0', '0.0', '33.8219658', '0.0', '0.0', '0.0', '33.8219658')
439	c1cc(-c2ccncc2)ccn1	950	('41.245742160000006', '0.0', '0.0', '0.0', '41.245742160000006', '0.0', '0.0', '0.0', '41.245742160000006')
440	COC(=O)C1=C(OC)C(=O)[C@]23c4c5c6c7c8c9c%10c%11c%12c%13c%14c%15c%11c9c9c%11c%15c%15c%14c%14c%16c%13c%13c%12c%12c%10c%10c8c6c6c8c%10c%12c%10c%13c%12c%16c%13c%14c%14c%15c%15c%11c(c97)c5c2c%15c%14c2c%13c5c%12c%10c8c(c64)c5[C@]123	954	('18.9723492', '0.0', '0.0', '0.0', '18.9723492', '0.0', '0.0', '0.0', '18.9723492')
441	c1cnn2nnnc2c1	957	('35.093210039999995', '0.0', '0.0', '0.0', '35.093210039999995', '0.0', '0.0', '0.0', '35.093210039999995')
442	O=C(O)CSc1sc(=S)sc1SCC(=O)O	959	('39.50620884', '0.0', '0.0', '0.0', '39.50620884', '0.0', '0.0', '0.0', '39.50620884')
443	C1=N/[C@H]2CCC[C@@H]2/N=C/c2cccc(n2)/C=N/[C@@H]2CCC[C@H]2/N=C/c2cccc/1n2	960	('37.36871712000001', '0.0', '0.0', '0.0', '37.36871712000001', '0.0', '0.0', '0.0', '37.36871712000001')
444	O=C1N[C@@]2(O)C(=O)c3ccccc3[C@@]2(O)N1	962	('24.144220800000003', '0.0', '0.0', '0.0', '24.144220800000003', '0.0', '0.0', '0.0', '24.144220800000003')
445	CC(C)N(c1nnnn1C(C)C)[N+](=O)[O-]	963	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
446	O=C(O)c1ccccc1	972	('28.553144760000002', '0.0', '0.0', '0.0', '28.553144760000002', '0.0', '0.0', '0.0', '28.553144760000002')
447	OCc1cn(-c2ccsc2)nn1	973	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
448	O=C(SSC(=O)c1ccco1)c1ccco1	976	('23.64428556', '0.0', '0.0', '0.0', '23.64428556', '0.0', '0.0', '0.0', '23.64428556')
449	c1ccc(-c2cc3sc4c5ccccc5sc4c3s2)cc1	979	('18.23374476', '0.0', '0.0', '0.0', '18.23374476', '0.0', '0.0', '0.0', '18.23374476')
450	COc1cc(OC)c(OC)cc1C=O	982	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
451	O=C(O)c1c[nH]ccc1=O	988	('34.507438560000004', '0.0', '0.0', '0.0', '34.507438560000004', '0.0', '0.0', '0.0', '34.507438560000004')
452	Oc1ccccc1C(=S)S	989	('34.23675276', '0.0', '0.0', '0.0', '34.23675276', '0.0', '0.0', '0.0', '34.23675276')
453	O=S1(=O)NS(=O)(=O)c2ccccc21	991	('38.07334692', '0.0', '0.0', '0.0', '38.07334692', '0.0', '0.0', '0.0', '38.07334692')
454	c1cnccn1	993	('37.9259118', '0.0', '0.0', '0.0', '37.9259118', '0.0', '0.0', '0.0', '37.9259118')
455	CCOC(=O)c1c(N)sc(N)c1C(=O)OCC	995	('32.89411944', '0.0', '0.0', '0.0', '32.89411944', '0.0', '0.0', '0.0', '32.89411944')
456	CCOC(=O)c1c(N)sc(N)c1C(=O)OCC	996	('44.811333', '0.0', '0.0', '0.0', '44.811333', '0.0', '0.0', '0.0', '44.811333')
457	c1ccc2[nH]ccc2c1	997	('46.66951296', '0.0', '0.0', '0.0', '46.66951296', '0.0', '0.0', '0.0', '46.66951296')
458	O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1	998	('40.36832856', '0.0', '0.0', '0.0', '40.36832856', '0.0', '0.0', '0.0', '40.36832856')
459	Cc1cc(C)n(CCO)n1	1000	('30.51901692', '0.0', '0.0', '0.0', '30.51901692', '0.0', '0.0', '0.0', '30.51901692')
460	S=c1ssc2ccccc12	1001	('31.86244404', '0.0', '0.0', '0.0', '31.86244404', '0.0', '0.0', '0.0', '31.86244404')
461	CC(C)(C#N)C(C)(C)c1nnn[nH]1	1002	('30.32887536', '0.0', '0.0', '0.0', '30.32887536', '0.0', '0.0', '0.0', '30.32887536')
462	Cc1ccc(C(=O)O)s1	1009	('18.63133272', '0.0', '0.0', '0.0', '18.63133272', '0.0', '0.0', '0.0', '18.63133272')
463	C=C(OC(=O)c1ccc([N+](=O)[O-])cc1)C(C)=O	1010	('51.94590156', '0.0', '0.0', '0.0', '51.94590156', '0.0', '0.0', '0.0', '51.94590156')
464	Oc1ccsn1	1011	('10.00087452', '0.0', '0.0', '0.0', '10.00087452', '0.0', '0.0', '0.0', '10.00087452')
465	c1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c23)cc1	1012	('22.9058928', '0.0', '0.0', '0.0', '22.9058928', '0.0', '0.0', '0.0', '22.9058928')
466	O=[N+]([O-])c1ccc2[nH]c(=S)sc2c1	1013	('20.398066919999998', '0.0', '0.0', '0.0', '20.398066919999998', '0.0', '0.0', '0.0', '20.398066919999998')
467	S=c1sccs1	1014	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
468	Oc1cc2c(cc1O)Sc1cc(O)c(O)cc1S2	1015	('37.05040332', '0.0', '0.0', '0.0', '37.05040332', '0.0', '0.0', '0.0', '37.05040332')
469	NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1	1016	('53.75714148', '0.0', '0.0', '0.0', '53.75714148', '0.0', '0.0', '0.0', '53.75714148')
470	N#C[C@@]1(C(N)=O)C[C@H]1c1ccccc1	1020	('30.2572746', '0.0', '0.0', '0.0', '30.2572746', '0.0', '0.0', '0.0', '30.2572746')
471	CC1=C(C)[C@]2(C)n3c(=O)n(C)c(=O)n3[C@@]1(C)[C@]2(C)C=O	1022	('27.449709839999997', '0.0', '0.0', '0.0', '27.449709839999997', '0.0', '0.0', '0.0', '27.449709839999997')
472	CCOC(=O)Nc1nc(=S)ss1	1025	('36.415945439999994', '0.0', '0.0', '0.0', '36.415945439999994', '0.0', '0.0', '0.0', '36.415945439999994')
473	NC(=O)c1nccnc1C(N)=O	1027	('51.37590024', '0.0', '0.0', '0.0', '51.37590024', '0.0', '0.0', '0.0', '51.37590024')
474	CN(C)c1cc(-c2ccsc2)cc(N(C)C)c1	1030	('26.355430079999998', '0.0', '0.0', '0.0', '26.355430079999998', '0.0', '0.0', '0.0', '26.355430079999998')
475	c1cc(Sc2ccncc2)ccn1	1032	('39.49292592', '0.0', '0.0', '0.0', '39.49292592', '0.0', '0.0', '0.0', '39.49292592')
476	O=C(O)c1nscc1CO	1033	('20.968914960000003', '0.0', '0.0', '0.0', '20.968914960000003', '0.0', '0.0', '0.0', '20.968914960000003')
477	c1nnnn1C1=N[N]N[N]1	1034	('20.968914960000003', '0.0', '0.0', '0.0', '20.968914960000003', '0.0', '0.0', '0.0', '20.968914960000003')
478	C1CCC(Nc2nnnn2C2CCCCC2)CC1	1036	('28.108669680000002', '0.0', '0.0', '0.0', '28.108669680000002', '0.0', '0.0', '0.0', '28.108669680000002')
479	Nc1ccccc1	1040	('29.79110232', '0.0', '0.0', '0.0', '29.79110232', '0.0', '0.0', '0.0', '29.79110232')
480	Nn1cn[nH]c1=O	1041	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
481	[N]([N]c1nonc1-c1nnn[nH]1)c1nonc1-c1nnn[nH]1	1042	('32.25055932', '0.0', '0.0', '0.0', '32.25055932', '0.0', '0.0', '0.0', '32.25055932')
482	CCCCCCCCNC(=O)n1nnnc1N	1043	('26.35908156', '0.0', '0.0', '0.0', '26.35908156', '0.0', '0.0', '0.0', '26.35908156')
483	O=[N+]([O-])c1c(O)cc(O)c([N+](=O)[O-])c1O	1045	('23.16064968', '0.0', '0.0', '0.0', '23.16064968', '0.0', '0.0', '0.0', '23.16064968')
484	S=c1cc[nH]cc1	1046	('23.906133720000003', '0.0', '0.0', '0.0', '23.906133720000003', '0.0', '0.0', '0.0', '23.906133720000003')
485	O=C(O)[C@H]1O[C@@H](n2cc([N+](=O)[O-])c(=O)[nH]c2=O)[C@H](O)[C@@H]1O	1048	('26.18645652', '0.0', '0.0', '0.0', '26.18645652', '0.0', '0.0', '0.0', '26.18645652')
486	COc1cncc(N)n1	1050	('16.77638088', '0.0', '0.0', '0.0', '16.77638088', '0.0', '0.0', '0.0', '16.77638088')
487	Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-]	1053	('39.65618412', '0.0', '0.0', '0.0', '39.65618412', '0.0', '0.0', '0.0', '39.65618412')
488	Cc1noc2nsc(N)c12	1054	('39.65618412', '0.0', '0.0', '0.0', '39.65618412', '0.0', '0.0', '0.0', '39.65618412')
489	Oc1ccc(O)cc1	1055	('25.3748754', '0.0', '0.0', '0.0', '25.3748754', '0.0', '0.0', '0.0', '25.3748754')
490	O[C@]1(c2ccccc2)c2ccccc2[C@](O)(c2ccccc2)c2ccccc21	1060	('25.29607752', '0.0', '0.0', '0.0', '25.29607752', '0.0', '0.0', '0.0', '25.29607752')
491	CN1c2ccccc2N=c2cc3c(cc21)=Nc1ccccc1N3C	1063	('30.44678112', '0.0', '0.0', '0.0', '30.44678112', '0.0', '0.0', '0.0', '30.44678112')
492	COC(=O)c1ccsc1-c1sccc1C(=O)OC	1065	('27.85042008', '0.0', '0.0', '0.0', '27.85042008', '0.0', '0.0', '0.0', '27.85042008')
493	C=C1CC(C)=Nn2nnnc2N1	1066	('28.813458240000003', '0.0', '0.0', '0.0', '28.813458240000003', '0.0', '0.0', '0.0', '28.813458240000003')
494	Oc1cccc(O)c1O	1067	('25.95614868', '0.0', '0.0', '0.0', '25.95614868', '0.0', '0.0', '0.0', '25.95614868')
495	O=C(N/N=C/c1ccco1)c1cnccn1	1069	('27.73844136', '0.0', '0.0', '0.0', '27.73844136', '0.0', '0.0', '0.0', '27.73844136')
496	C1Cc2c3c(c4c(c2C1)CCC4)CCC3	1070	('40.619857319999994', '0.0', '0.0', '0.0', '40.619857319999994', '0.0', '0.0', '0.0', '40.619857319999994')
497	O=[N+]([O-])c1cc([N+](=O)[O-])c(NC2CCCCC2)s1	1071	('18.468286199999998', '0.0', '0.0', '0.0', '18.468286199999998', '0.0', '0.0', '0.0', '18.468286199999998')
498	CN(CNc1nnnn1C)[N+](=O)[O-]	1072	('59.03929836', '0.0', '0.0', '0.0', '59.03929836', '0.0', '0.0', '0.0', '59.03929836')
499	c1ccccc1	1074	('17.197888680000002', '0.0', '0.0', '0.0', '17.197888680000002', '0.0', '0.0', '0.0', '17.197888680000002')
500	O=C([C@H]1CC[C@@H](C(=O)n2nnc3ccccc32)CC1)n1nnc2ccccc21	1077	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
501	Nc1nc([N][N]c2noc(N)n2)no1	1078	('33.06647988', '0.0', '0.0', '0.0', '33.06647988', '0.0', '0.0', '0.0', '33.06647988')
502	O=c1nccc[nH]1	1082	('34.359209639999996', '0.0', '0.0', '0.0', '34.359209639999996', '0.0', '0.0', '0.0', '34.359209639999996')
503	C[C@@H]1NCCN[C@@H](C)c2cccc(n2)[C@@H](C)NCCN[C@H](C)c2cccc1n2	1087	('27.176378040000003', '0.0', '0.0', '0.0', '27.176378040000003', '0.0', '0.0', '0.0', '27.176378040000003')
504	O=S1(=O)Cc2cccc3c2-c2c(cccc2-3)C1	1089	('19.43889192', '0.0', '0.0', '0.0', '19.43889192', '0.0', '0.0', '0.0', '19.43889192')
505	Nc1ccc2oc(=O)[nH]c2c1	1092	('31.4037864', '0.0', '0.0', '0.0', '31.4037864', '0.0', '0.0', '0.0', '31.4037864')
506	Cc1nc(-c2nonc2[N][N]c2nonc2-c2noc(C)n2)no1	1093	('24.65712144', '0.0', '0.0', '0.0', '24.65712144', '0.0', '0.0', '0.0', '24.65712144')
507	[N][N][C](c1ccncc1)c1ccncc1	1095	('39.541083119999996', '0.0', '0.0', '0.0', '39.541083119999996', '0.0', '0.0', '0.0', '39.541083119999996')
508	Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c2cn(C)cc12	1096	('42.77396592', '0.0', '0.0', '0.0', '42.77396592', '0.0', '0.0', '0.0', '42.77396592')
509	O=c1cc[nH]c(=O)[nH]1	1098	('39.78901332', '0.0', '0.0', '0.0', '39.78901332', '0.0', '0.0', '0.0', '39.78901332')
510	C[C@]12CC[C@]34c5ccccc5C=C[C@H]3[C@@]1(O)CC[C@]24O	1101	('19.78742304', '0.0', '0.0', '0.0', '19.78742304', '0.0', '0.0', '0.0', '19.78742304')
511	O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1	1104	('24.048435599999998', '0.0', '0.0', '0.0', '24.048435599999998', '0.0', '0.0', '0.0', '24.048435599999998')
512	S=c1[nH]nns1	1109	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
513	S=C1Nc2ccccc2C(=S)Nc2ccccc21	1111	('35.062146', '0.0', '0.0', '0.0', '35.062146', '0.0', '0.0', '0.0', '35.062146')
514	O=c1ssc2c1Nc1c(ssc1=O)S2	1114	('24.762114720000003', '0.0', '0.0', '0.0', '24.762114720000003', '0.0', '0.0', '0.0', '24.762114720000003')
515	O=S(=O)(c1cnccn1)c1cnccn1	1115	('31.87615032', '0.0', '0.0', '0.0', '31.87615032', '0.0', '0.0', '0.0', '31.87615032')
516	Nc1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1	1118	('20.52391068', '0.0', '0.0', '0.0', '20.52391068', '0.0', '0.0', '0.0', '20.52391068')
517	Cn1nnc2ncnc(N)c21	1122	('46.432907639999996', '0.0', '0.0', '0.0', '46.432907639999996', '0.0', '0.0', '0.0', '46.432907639999996')
518	Cc1ccc(C)c2c1-c1c(C)c(C)c3c4c(c(C)c(C)c-2c14)-c1c(C)ccc(C)c1-3	1126	('26.734866479999997', '0.0', '0.0', '0.0', '26.734866479999997', '0.0', '0.0', '0.0', '26.734866479999997')
519	[O]S1([O])Oc2cccc3cccc1c23	1127	('39.231289440000005', '0.0', '0.0', '0.0', '39.231289440000005', '0.0', '0.0', '0.0', '39.231289440000005')
520	c1ccc2c(c1)CNCCNCc1ccccc1NCCN2	1130	('23.59618128', '0.0', '0.0', '0.0', '23.59618128', '0.0', '0.0', '0.0', '23.59618128')
